Document,Dominant Topic,Probability,Original Text
626,10,0.28905854,"it’s no secret that different tiles need different tile adhesives. but how do we find the right adhesive? as a general rule, the denser the tile, the higher the polymer content of the adhesion should be. in accordance with their density, tiles are divided into different categories. read this article to find out more: "
627,10,0.2888144,"classifications like c1, c2, s1, s2 can be helpful in choosing the right tile adhesive for a project. but what if the result is not 100% satisfactory? we took a closer look at the commonly used standards, finding out why they only go so far. read this article to learn more 👉 "
628,10,0.274753,"hello ecs 2023! hello new wacker booth! our builders have been doing an amazing job and two days before the official opening, our booth is almost ready. we can’t wait to welcome you here: come join us at ecs2023 from 📅march 28 to 30, booth 206, hall 1, and let’s discuss solutions for a sustainable tomorrow. see you there! europeancoatings coatings construction adhesives"
629,10,0.36092493,"hello ecs 2023! we are all set: starting tomorrow, the new wacker booth is ready to welcome our fellow experts from all over the world. 📍join us at booth 206 in hall 1 and let’s discuss solutions for a sustainable tomorrow. we can’t wait to see you! "
630,11,0.27123046,"We have a reason to celebrate!The shell of our new MRNA competence center in Halle is.We are on schedule.As it is customary, a topping -out crown was attached to the shell at the topping -out ceremony.From April 2024, in the new building at our biotech location Halle, we will produce active ingredients based on Messenger-Ribonucleic acid \ (mrna \), such as MRNA vaccines against the Corona virus.Around 200 new jobs are being built in the course of the expansion.interest?More information about open places in Halle can be found here: "
631,11,0.2764303,"it was great to be a part of aus careers fair 2023 again and to re-connect with the aspiring students and alumni! this year, wacker middle east is opening its doors to welcome aus students to join our summer internship program. the reception and interest from the aus students was overwhelming which the wackermea team greatly appreciated. during the collaborative discussion with the wackermea team, it was evident how inquisitive, determined and enthusiastic the students were regarding the internship programs. during this event, wackermea promoted the company’s vision of supporting the sustainability campaign. to find out more about wackermea & wackeracademydubai please visit "
632,11,0.23518261,under attack: buildings are exposed to moisture from every direction. from above by the elements and from below by groundwater. our high-performance silres® bs makes facades waterrepellent and dries out damp walls. providing 360° protection 
633,10,0.2089203,"about 332 million m2 of external thermal insulation composite systems \(etics\) were installed in 2020 across europe, most of them in central europe. at 70% of the total, expanded polystyrene \(eps\) is the most commonly used insulating material. only in northern europe is significantly more mineral wool used than eps. we are proud that, in both cases, our vinnapas® binders are part of these systems, too. whether the etics is installed in hot or cold climates, polymer modification of the mortars is critical for ensuring the insulating properties over a long period of time and for helping make buildings more energy efficient. 👉 to find out more, read our article: "
634,10,0.3390602,"75 years of wacker silicones were celebrated with over 100 guests in burghausen yesterday. silicones can be found in medical technology and electronics, as well as in construction. every car contains several kilograms of these substances, and silicones can be found in every laptop and smartphone. today, we manufacture more than 3,000 different silicone products at 16 production sites. after our ceo dr. , who will take over management of the division on july 1, 2023."
635,8,0.20422974,"poorly insulated buildings are a problem – not only in cold climates. in a joint test project conducted by wacker and dubai central laboratories, we found out that in hot climates, etics insulation can cut co2 emissions and energy use for cooling by up to 60%. this is not a theoretical number. we actually built two identical houses in dubai – one with etics, one without – and monitored them over a period of 12 months. 👉 read this article to learn more: "
636,8,0.30092657,"Lets see you at the European Robotics Forum from the 13th to16.March in Odense, Denmark?We look forward to exchange ideas with other industry experts and present our latest developments in the area of software and hardware for mobile robotics.At the forum we present Rexroth Rokit, our innovative Robotics Kit, which offers flexible and scalable solutions for the automation of your mobile robots.With its modular structure, Rokit enables quick and easy commissioning and thus greater efficiency and productivity in a variety of industries.In addition, we will also present our Smart Item picking software solution there.It automates manual picking tasks and processes in intralogistics, for example in goods distribution centers.The forum will be open to the public on March 13th.We look forward to meeting you there!ROKIT - The Robotics Kit: "
637,1,0.28876162,"innovative solutions for hydrogen refueling stations | connectedhydraulics together with maximator hydrogen gmbh, we elaborated a solution for the efficient compression of hydrogen which is used in hydrogen refueling stations. how the concrete outcome looks like? we’ve contributed our know-how and developed these solutions: an energy-efficient drive for the compressor as well as the automatic seal exchange system (asx). discover all exciting details here: "
638,10,0.22794865,"bosch rexroth @ tire technology expo 2023! | connectedhydraulics energy-efficient and connected hydraulic power supply - we offer the right solution for your tire press! experience all our tire industry solutions live: discover for example our hydraulic power unit cytrobox, which allows you to save up to 80% energy and 75% oil volume. were looking forward to your visit at tire technology expo in hanover: "
639,10,0.29673925,"feel free to change the game of automation – thats what ctrlx automation stands for! discover everything about the open, modular and scalable automation toolkit at the @hannover messe and find out more about ctrlx os, ctrlx services and our energy efficiency solutions from the experts at our booth. curious? "
640,10,0.2327438,"The world of automation continues to develop rapidly.Through its hard and software portfolio, Ctrlx Automation offers absolute freedom, co-creation and networking in conjunction with the Ctrlx World party network as well as the resulting ecosystem and the linear technology portfolio.This will solve your individual challenges together with you - sustainably and with high availability.In this way, you can not only react flexibly to the constantly changing market conditions and customer needs, but also be decisive steps with completely new scope for action.You can see exactly how this works on HM23 in Hall 6 Stand D26.learn more: "
641,7,0.23348592,"live webcast “mobile robotics” on april 5: the market for mobile robotics has been growing rapidly for years, and flexibility and adaptability are needed to quickly gain market share. in our webcast, we will showcase our modular robotics kit rokit and our ctrlx automation toolkit – and how these solutions can help you with your challenges. register now: "
642,10,0.1976025,"hydraulics meets automation🤝. bosch rexroth creates new freedom in hydraulics: with the h4u (hydraulics for you) software platform and the ctrlx automation toolkit. from now on, h4u makes it very easy to design and use hydraulic functions - completely hardware-independent. this means that ctrlx automation is now even richer in hydraulic apps. the effects of the functions are among other things higher energy efficiency! curious? meet us hannover messe and get to know different h4u.apps and experience live how the applications run on the ctrlx core. "
643,1,0.29725546,"efficient linear power for the tire production! | connectedhydraulics high flexibility & rapid response to the fluctuating market - these are requirements for competitive tire production. and this is where we support you: we offer solutions that help you optimize system availability, lower your total cost of ownership & improve your time-to-market. for example, when cutting tire tapes or mixing the rubber material, our self-contained actuator cytroforce impresses with efficiency & usability! experience all of our tire industry solutions in detail live at tire technology expo 2023 in hannover: "
644,1,0.32246754,The sales figures for electrically powered cars are increasing significantly worldwide.This also focuses on recycling the high -performance batteries in order to transfer the valuable chemical components of the high -performance batteries into a sustainable circular economy.boschrexroth presents the first industrial automation solution for the success -critical step of depth charge at the Hannover Messe 2023.It shortens a process that has been 24 hours a 24 -hour process to less than 15 minutes.Visit us on the HM23 and learn more.
645,8,0.27693507,"meet us at european robotics forum on 13 – 16 march in odense, denmark. we cant wait to connect with fellow industry experts and showcase our latest developments in software and hardware for mobile robotics. at the forum, well be highlighting rexroth rokit, our innovative robotics kit that offers flexible and scalable solutions for automating your mobile robots. with its modular design, rokit allows for quick and easy commissioning, enabling greater efficiency and productivity in a wide range of industries. in addition, we will also be there to represent our smart item picking software solution. it automates manual picking tasks and processes in intralogistics, such as in goods distribution centers. we look forward to seeing you there! rokit – the robotics kit: "
646,8,0.21320088,"service meets robust hydraulics | cytroconnectsolutions at its heilbronn (de) location, our customer tsr recycling gmbh & co. kg prevents potential downtime of its huge scrap shear with data-based analyses from bosch rexroth. the data collected here are analyzed in detail in our service center in lohr. so we can lift our finger in time, even before something fails! curious to see what cytroconnect solutions brings to our customer and for even more stunning shots? check out our new video: "
647,1,0.33026084,"worldwide, the sales figures for electrically powered cars are rising sharply. this also brings the recycling of high-performance batteries into focus, in order to transfer the valuable chemical components of high-performance batteries into a sustainable circular economy. at hannover messe 2023, bosch rexroth will present the first industrial automation solution for the success-critical step of deep discharge. it shortens a process that previously took 24 hours to less than 15 minutes. visit us at hm23 and learn more. "
648,11,0.2154854,"Did you know that the creation of an ergonomic work environment not only benefits humans, but also contributes to the efforts for sustainability?By investing in comfortable chairs, adjustable jobs and adequate lighting, we can reduce the risk of injuries to the workplace and promote productivity while we at the same time reduce energy consumption and waste.Let us prioritize our well -being and the planet by standing for ergonomic jobs."
649,10,0.18100244,sign up now… | webseminar on wed 29 march .. for our first industrial hydraulics web seminar this year! looking to save money by avoiding original spare parts? think twice! investing in original spare parts ensure long-term cost reduction & maximum availability. whether its the self-service replacement of a seal in your hydraulic system or the replacement of a complete component: we show you all your possibilities and our solutions! trust us to keep your equipment in top shape and register directly to our web seminar “rexroth original spare parts – minimize your downtime!” here: 
650,10,0.2070335,"Attention AGV/AMR manufacturers!Be there tomorrow if we show you in our live webcast how to automate your mobile robots with our modular, flexible, efficient and easy -to -integrate solutions ""Rokit - The Robotics Kit"" and ""Ctrlx Automation"" according to your needs.Register now: "
651,8,0.26035327,"the world of automation is evolving rapidly. ctrlx automation offers absolute freedom, co-creation and connectivity through its hardware and software portfolio together with the partner network ctrlx world as well as the resulting ecosystem and linear technology portfolio. in this way we solve your individual challenges together with you - sustainably and with high availability. this allows you not only to react flexibly to constantly changing market conditions and customer needs, but also to be decisive steps ahead with completely new scope for action. you can see exactly how this works at hm23 in hall 6 booth d26. read more: "
652,10,0.24148138,"we say thank you! 🙏 for three days of exchange and enthusiasm in our solutions. we really enjoyed diving into the world of automation with you and talking about innovations together. we are already looking forward to next year! to shorten the time until the next event, take a look at the brand new ctrlx automation magazine 2022: "
653,10,0.32480386,rexroths ts transfer conveyor systems provide scalable solutions for virtually any application and modular designs that make modifications easy. explore our full range of conveyors and find one that fits your needs. factoryautomation 
654,10,0.37692502,"a (development) partnership that benefits both sides! | connectedhydraulics together with maximator hydrogen gmbh, we have developed an energy-efficient drive for the compressor of hydrogen filling stations as well as the automatic seal exchange system (asx) for the automatic exchange of piston seals. starting with engineering & simulation up to the complete solution! find all details in our new video: "
655,1,0.19538285,"Our commitment in the attention of bombs and engines to the highest equipment manufacturers - OEM, also gives us the responsibility of attention in replacement within the post sale.We will advise you on possible product updates, and in the rexroth equivalent replacements of your machines!Boschrexroth Boschrexrothperú Motores Bombas Bosch Rexroth S.A.C.Peru Tlf: +511 219 0353 info@boschrexroth.pe "
656,1,0.2872097,"schredder & conveyor belts in recycling companies are heavily used - if you need a reliable service for your Hägglunds hydraulic engines, trust the Hägglunds original service, which puts your drives back into a new condition."
657,10,0.3567287,"Welcome to the boschrexrothacademy: Discover the 2023 training offer with the new training finder online!Now select the desired technology training, register and benefit from the knowledge of our industrial experts, which you lead to learning success with the training method of your choice: "
658,10,0.3514897,"linear modules from boschrexroth can now be commissioned even faster. thanks to a simplified process, parameters of linearaxes, multiaxissystems and electromechanicalcylinders can now be transferred from the motor encoder data memory to the motor controller simply at the click of a mouse. 🖱 the added value for you: valuable time savings ⏱ during commissioning - simply connect, click and get started with ready-to-use linear motion systems! for detailed information click this video: "
659,11,0.21627128,"Visit us during today and tomorrow at the GR -Ex |Global Robot Expo and experiences our solutions to enhance intralogistics.Solutions such as Active One, an AMR capable of working even in narrower spaces.You can see it in action in Pavilion 6 of IFEMA, Stand 6G9A.We will wait for you!Grex22"
660,1,0.22692119,"🔝 With your CertifiedExcellence partner you always have an expert on site and receive quick, easy access to the high -quality solutions from Boschrexroth.welt class suburb - today presented by our certified partner Otto Zimmermann GmbH - Saarbrücken."
661,10,0.2309688,"better to be safe than sorry! | serviceforhydraulics if the die cushion of a deep drawing press in vehicle production fails, downtime costs running into the millions could result. how can you minimize key failure risks while keeping control of maintenance costs? well explain it to you in our new whitepaper: "
662,8,0.36318833,"We are proud to be the automation and i4.0 solution partner at MESS Technology Center (MEXT), the worlds largest and most comprehensive digital transformation and competence development center of the MESS Turkey Metal Industrialists Union.This center contributes to bringing our solutions together with the entire metal industry, especially with all the Turkey industry.We would like to thank the Mext team for hosting with our Bosch Rexroth board members and our global managers and our recent digital factory visit.mext boschrexroth wemoveyouwin"
663,1,0.20305707,"Better safe than sorry!|serviceFor hydraulics If the pull cushion of a deep -drawing press in vehicle production fails, there are enormous standstill costs.How can you minimize the most important failure risks with little effort and at the same time keep your maintenance costs in check?Well tell you in our new white paper: "
664,10,0.2883467,"do you need a safety related hydraulic axis for your production machine? our ih04 product family is the right answer according to the iso13849. it enables fast, efficient and safe engineering. how does it work? learn more about it here: "
665,1,0.23412529,"efficient pressing, forming and testing: you need the solution for heavy-duty applications in pressing and joining tasks? the smart mechatronic servo press from boschrexroth can realize pressing forces of up to 70kn thanks to the electromechanical heavy-duty cylinder. with the smartfunctionkitpressing, you also benefit from easy product selection, fast commissioning thanks to plug&produce, graphical programming and quality documentation. 🔎 more information at: "
666,10,0.255132,We believe that small deeds have a big impact!Bosch Rexroth is a pleasure to be involved in promoting the visibility of small schoolchildren in traffic.We donated reflective vests with LED note to first-graders in Vantaa.Safe school trips and adventures for small walkers💙!
667,8,0.23313566,"🏆🥇 Best of Industry Award 🥇🏆 In the category: robotics ... and the winner is ... the smart flexefftor from Boschrexroth.The sensor -based compensation module with independent kinematics in six degrees of freedom gives robots and Cartesian linear systems the sensitivity of a human hand 🖐.This increases precision and opens up completely new areas of application in the factory automation.Difficulty manageable processes can be automated, optimized and monitored by simply retrofitting the smart flex effect.🔎 Further information can also be found on our website: "
668,10,0.30441874,enhance the functionality and efficiency of your on- and off-highway machines with the medium-pressure valve platform rm10/rm15-mpp from bosch rexroth. download the fact sheet to learn how to get more from your controls. 
669,1,0.31044322,the electromechanical cylinder emc-hp (high power) from rexroth is a compact actuator that delivers more design freedom and guarantees performance in harsh conditions. discover the advantages of electromechanical actuation. linearmotion 
670,10,0.23701581,"winner winner! boschrexroths mp1000r, made in collaboration with geek+, took home the gold in the material handling & packaging category of the 2022 ned innovation awards! learn more about our award-winning autonomous mobile robot: "
671,8,0.2591195,📍 Did you know that Bosch Rexroth has an extensive network of certified partners with offices in all over Finland?Read more about the Certified Excellence concept and take a look at your nearest partners and their contact details here: 
672,1,0.2851089,"Our mission in Bosch Rexroth is successfully contributing to the sustainability of our planet, making vehicles out of the road such as drilling, loaders and all kinds of material manipulators for underground mining materials, maintaining efficiency, productivity and reliability to the best level.Each vehicle that we electrify brings us closer to our goal of offering solutions to a conscious world with the environment.Boschrexroth boschrexrothperú electrificationOffhway Bosch Rexroth S.A.C Peru Tlf: +511 219 0353 info@boschrexroth.pe "
673,10,0.27394485,our customers success is our engine and our goal. rexroth compacthydraulics we are always ready to take the field and accept new challenges to guarantee your machines n. 1 performance. we design components in a bold innovative excellent and agile way to reach the first place on the podium. we move. you win.
674,10,0.24539162,"this christmas, from different corners of the world, the teams at bosch rexroth are channeling the feeling of festive goodwill. find out about the children’s charity initiatives we’re getting involved in to make sure that disadvantaged children have something magical to open this christmas "
675,11,0.2587918,Industrial recychers exceed their machines.Hägglunds must understand how good care programs can help prevent cost -effective breakdowns for systems that operate with direct provocations of hydraulic.Click to get more information: 
676,1,0.21459253,choose the compact hydraulic motor with maximum power: the hägglunds atom delivers maximum power of 394 kw that outstrips other motors in its class. get details. hydraulicmotor 
677,1,0.21736313,"rexroths cytrobox delivers up to 80 percent energy savings compared to constantly driven power units. learn about this powerful, intelligent combination of variable speed pump drives, synchronous motor and axial piston pump. hydraulicpowerunit "
678,11,0.3053534,"bosch rexroth singapore recently celebrated its 45th anniversary. heres a lookback at the event that brought together customers, partners and associates for a get together at bosch rexroth regional training centre. established since 1977, bosch rexroth is proud to contribute in the field of drive & control in singapore for the past 45 years. we are thankful for all the close cooperation from customers and partners to make us successful in celebrating this milestone. we look forward to strong partnerships and continue to move and win in coming years as well. special thanks to jtc corporation for their close support to make this event a success. thomas donato michel gunawan raymond toh wemoveyouwin customerobsessed boschrexrothsingapore"
679,10,0.3332787,"[NL] Quiz Time ⁉️ Celebrate our 5️⃣0️⃣st birthday in 🇧🇪 and participate in the very last competition!The Repair Center of Bosch Rexroth does much more than just recovering.Preventive maintenance is, for example, an important activity.The experienced technicians immediately see during inspection 🧐 whether it is normal wear or a bigger problem.The next question is for them a 🥚tje: what is the cause of the damage on the pump parts in the photo below?Respond with the emoji that is with the correct answer and win the last prize!And another small tip: we have already asked this question ... quiz Belgium boschrexroth [fr] cest l’Heure du quiz ⁉️ Célébrez Notre 5️⃣0️⃣e anniversaire and 🇧🇪 et répondez à la toute dernière question de Notre quiz!Le Repair Center De Bosch Rexroth Ne se Contente Pas d’effectuer des Réparations, Puisqu’il se consacre Également à la Maintenance Préventive.NOS Techniciens Expérimentés Voient Immédiatement Lors de L’Inspection 🧐 Si l’équipement Prénente usure Normal ou Si le Probleme Est Plus Grave.La Question Suivante Est Donc du 🎂 Pour Eux: Quelle Est La Cause des Dommages Visibles sur les Pièces de Pompe Illustrées Ci-Dessous?Réagissez Avec l’Emoji correspondant à la Bonne Réponse et Tentez the brake porter Le Dernier Prix!encore un petit indice: nous avons déjà posé cette question ... quiz belgique boschrexroth"
680,11,0.41717955,"Social events create a strong corporate culture 😊 At Bosch Rexroth, it is important that our employees feel motivated and have the opportunity to build relationships.Social events in the workplace provide an opportunity to create networks and relationships among employees.This results in increased motivation and commitment as employees become more comfortable communicating with team members and colleagues from other departments, which result in better cooperation.Overall, it results in great quality for the individual employee, but also for the organization as a whole.Look at it as an investment, we do!A selection of our social events at Bosch Rexroth in 2022: - Running Club 👟 - Badminton 🏸 - Summer Party 🥳 - Christmas Lunch 🤶🤶 - Decorating the office 🎄 - Christmas bingo games 🎁 - Padel tennis 🎾 - Backyard 🎂 - VM on big screen ⚽ motivation socialTeamwork"
681,11,0.46945965,"Our Hägglunds experts are never far away.More than 300 members of our team work out of local branches and specialized workshops around the world.In addition, the specialist knowledge from the Hägglunds work about remote support, which is contained in our Inside Intelligence Suite, is quickly available.Contact us at "
682,10,0.30987477,We are world leaders in the design and manufacture of hydraulic control valves for industrial and mobile applications.In Bosch Rexroth we offer the highest range of hydraulic valves for all types of applications.We will help you find exactly what you need to achieve an optimal solution.More information: 
683,10,0.32822,"make your machines more efficient and more productive with erm electronic valve control from rexroth. a complete platform of valves, pumps and software with ready-to-use functionality makes it easy to electrify your mobile applications. offhighway "
684,10,0.22910641,"at the end of the year we wish all our customers, partners, colleagues and other followers strong health, smart presents and efficient family time. let’s stay connected in 2023! connectedhydraulics boschrexroth strongsmartefficient"
685,1,0.29001614,We realized our steam and gas valve actuator maintenance and tests used in energy production power plants in our Special Equipped Service Center in Rexroth in Turkey and delivered it to our customer after competent maintenance and repair works.rexroth servis
686,10,0.32747108,The success of our customers is our drive and our goal.boschrexroth compactthydraulics We are always ready to accept new challenges to guarantee your machines the best performance.We construct components on a innovative excell dente and Agile wise to achieve first place on the podium.We move.You win.
687,11,0.31533214,"Bosch Rexroth wants a Merry Christmas as well as a Happy New Year 🎄 2022 is running out, and before we look around, it says 2023 on the calendar.Thank you for a fantastic year with lots of highlights: ✔ Customer trips to Hannover & Bauma Fair 😊 ✔ Nice Stand at Automatiksmessen, where we exhibited our automation solutions 🙌 ✔ ✔ Techday for our Hydraulik customers at Hindsgavl Slot 🏰 ✔ Purchase of the majority of Kassow Robots 🤖✔ Launch of new products and solutions: Cytromotion, Elion, Ctrlx Core and Smart Kit for Action 💡 We look forward to embarking on an exciting 2023 - but first we will let Christmas peace lower ... Now its time to letThe batteries up and have fun with the family 🎅🎄⛄ Christmas time is a good time to say thank you!And we say that from the bottom of our hearts.Thank you for good partnerships and for the good times together.We will return strongly in the new year, with information about all the exciting things that 2023 will offer.Really Merry Christmas and Happy New Year 🥂🍾🥳"
688,10,0.23305534,"🎄🎅🏻season’s greetings from the compacthydraulics team 🎄🎅🏻! enjoy your holidays and take your time to recharge the batteries! see you in 2023, to rock the year🎆! compacthydraulics boschrexroth"
689,11,0.23641816,"as we wind down the year, we want to express a huge thanks to all our customers, partners and associates. 2022 was an eventful year. without you we wont be where we are today. together we will move, and together we will win in 2023."
690,11,0.23643653,"as we wind down the year, we want to express a huge thanks to all our customers, partners and associates. 2022 was an eventful year. without you we wont be where we are today. together we will move, and together we will win in 2023."
691,1,0.24161306,"Cytrobox in action 🦾-Linnenbrink-Technik-Warburg Maschinenbauggm.At the customer of the Linnenbrink machine manufacturer, our hydraulic aggregate citrobox supplies the system to the outdoor -free shaping of cars exhaust pipes.Thanks to the use of cytrobox, it was possible to reduce the space needed for hydraulic power to be reduced while maintaining the same efficiency and even greater energy efficiency!Do you want to read in detail the entire history of success?Just one click 👉: "
692,11,0.20727038,minimize failure and establish a long-term plan to keep your automation system running at peak performance. retrofit your electric drives and controls with a comprehensive overhaul program with the experts at rexroth. automationcontrol 
693,10,0.27782878,From Boschrexrothespaña we wish you happy holidays and we hope that 2023 will arrive with many new projects.Merry Christmas and Happy New Year!Automatizacion Industrial Feliznavidad
694,11,0.27788198,boschrexroth wishes you all a merry christmas and a happy new year! we thank you for your loyalty and look forward to continued good cooperation. heres to a healthy and prosperous new year! ☃❄
695,10,0.23816462,wondering if santa is on the way? we’re thankful north american aerospace defense command is on the case year after year. check out the norad santa tracker to see where he’s headed next. happyholidays rexroth 
696,11,0.23414479,from our family at rexroth to yours. wishing happy holidays to one and all. happyholidays merrychristmas 
697,11,0.26858264,from our family at hägglunds to yours. wishing happy holidays to one and all. happyholidays merrychristmas 
698,10,0.3180972,"Ctrlx Automation exceeds the classic limits between machine controls, the world of IT and the Internet of Things.With a real -time Linux operating system, constant open standards, application programming technology, web -based engineering and an integral IoT connection, CTRLX Automation reduces components and engineering costs between 30 and 50 %.Get more information -> "
699,10,0.27069867,Prof.Dr.Christian Mayr and his team on the future of the chips.The podcast explains what the neuromorphic chips from Dresden can do.Listen right away: 
700,1,0.22742462,todays manufacturers need production tools that combine sophisticated performance with faster commissioning and easy-to-use operator controls. the growing family of plug-and-produce smart mechatronix systems from rexroth is designed to meet manufacturers needs. smartmechatronics
701,10,0.23576045,"🏭 Do you work in semiconductors & electronics industry?Boschrexroth presents the new generation of precision units that includes linear axes to ensure maximum performance, at the least possible cost.Get to know: "
702,1,0.23766504,"proven, scalable bodas rc-40 controllers from rexroth improve off-highway equipment efficiency, versatility and performance. move your mobile machines forward with cutting-edge digital technology. constructionequipment "
703,10,0.27455977,"𝐒𝐦𝐚𝐫𝐭 𝐊𝐢𝐭: Discover the new generation of distribution robot from boschrexroth❗ is a smart & fast system to perform various distribution processes, suitable for every industry.💡 Select your details and customize your system through online tools & pre -installed software.Get to know: "
704,1,0.22140972,designing linear subsystems is expensive and tedious? not anymore. read our blog to learn how smartmechatronix from boschrexroth can save you money. discover a revolutionary simple and intuitive ecosystem of perfectly tuned mechatronics and take another step towards the factoryofthefuture 🏭! 
705,8,0.23222862,"Emrah Küçüköz, one of our experts, came together with our Certified Excellence Partners with the CRLX Automation product family, automation and electrification product group competence certificate.Thank you for your participation in this pleasant and instructive training.For more information: "
706,1,0.29757595,"hägglunds offers a full range of repair and maintenance services for recyclers, including a complete, easy-to-use process to upgrade legacy marathon motors to our latest hydraulic direct drive systems. hydraulicmotor "
707,10,0.2567648,"Bosch Rexroth Chile wishes you a happy new year, see you in 2023!Chile Personas Añonuevo"
708,11,0.34631547,"hägglunds experts are never far away when you need them. more than 300 members of our team operate from local offices and specialized workshops all around the world. in addition, expertise from the hägglunds factory is swiftly available via remote support featured in our inside intelligence suite of digital tools. get in touch at "
709,11,0.27213818,"happy new year from everyone at bosch rexroth and hägglunds! we hope you have much success in 2023 -- and were ready to help. please follow, like and share us as we keep you up to date on new products and innovative solutions. wemoveyouwin "
710,1,0.22492011,"The ""two steps forward"" mentality makes Ctrlxautomation never stop starting again.It reaches an innovation process and does not remain still.As an all -terrain, which is safe, intelligent and prepared for the future.CTRLX Automation breaks with all conventional innovation frames.Get more information in -> "
711,1,0.44463685,do your production systems have megawatt-size power demands? we have the smart solution to meet your needs: the rexroth indradrive ml drive system can supply up to 4 mw of power to up to 8 devices in parallel. watch the video. electricdrive
712,1,0.2806471,Do you want to modernize your equipment?Boschrexroth rejuvenates all your removal equipment that prolongs their lifetime.𝑌𝑂𝑈 𝑊𝐼𝑁.✔ Excreased capacity through the installation of advanced components ✔ Excited machine security & increased energy efficiency Learn more: 
713,10,0.25786242,"𝐈𝐧𝐟𝐫𝐚𝐓𝐞𝐜𝐡 𝟐𝟎𝟐𝟑: 𝐖𝐢𝐣 𝐳𝐢𝐣𝐧 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣 𝐞𝐫𝐛𝐢𝐣𝐉𝐢𝐣 𝐨𝐨𝐤?𝐏𝐫𝐞𝐝𝐢𝐜𝐭𝐢𝐞𝐯𝐞 𝐌𝐚𝐢𝐧𝐭𝐞𝐧𝐚𝐧𝐜𝐞 𝐢𝐧 𝐝𝐞 𝐜𝐢𝐯𝐢𝐞𝐥𝐞 𝐢𝐧𝐟𝐫𝐚𝐬𝐭𝐫𝐮𝐜𝐭𝐮𝐮𝐫 Sudden malfunctions, unplanned, expensive maintenance and pre -determined maintenance cycles.Isnt that the solution, is it?Rexroths digital solutions 𝐂𝐲𝐭𝐫𝐨𝐂𝐨𝐧𝐧𝐞𝐜𝐭 𝐒𝐨𝐥𝐮𝐭𝐢𝐨𝐧𝐬 Supporting maintenance activities and provide insight into the current condition of the installation.ℹ️ Want to know more about the 𝐂𝐲𝐭𝐫𝐨𝐂𝐨𝐧𝐧𝐞𝐜𝐭 𝐒𝐨𝐥𝐮𝐭𝐢𝐨𝐧𝐬?Visit us during the Infratech trade fair!📅 17 to 20 January 2023 📍 Ahoy, Rotterdam ➡️ 𝐬𝐭𝐚𝐧𝐝𝐧𝐮𝐦𝐦𝐞𝐫 𝟏 𝟏 𝐑𝐞𝐠𝐢𝐬𝐭𝐫𝐞𝐫𝐞𝐧 𝐑𝐞𝐠𝐢𝐬𝐭𝐫𝐞𝐫𝐞𝐧 🎫 🎫 🎫: "
714,10,0.25010613,Constructing linear subsystems is expensive and lengthy?not anymore.In our blog you will learn how to save costs with smartmechatronix from boschrexroth.Discover a revolutionary simple and intuitive ecosystem of perfectly coordinated mechatronics and take another step towards fabrikder future 🏭!
715,10,0.3459415,"𝐕𝐞𝐫𝐬𝐧𝐞𝐥 𝟐𝟎𝟐𝟑 𝐣𝐞 𝐜𝐚𝐫𝐫𝐢 𝐜𝐚𝐫𝐫𝐢 𝐜𝐚𝐫𝐫𝐢 𝐦𝐞𝐭 𝐞𝐞𝐧 𝐭𝐞𝐜𝐡𝐧𝐢𝐬𝐜𝐡𝐞 𝐭𝐫𝐚𝐢𝐧𝐢𝐧𝐠 𝐯𝐚𝐧 𝐝𝐞 𝐁𝐨𝐬𝐜𝐡 𝐑𝐞𝐱𝐫𝐨𝐭𝐡 𝐀𝐜𝐚𝐝𝐞𝐦𝐲!The new training catalog is out!In which technology do you want to become stronger this year?View the brochure and: - Discover our training options from basic to expert level and the digital learning methods;- Find the right solution to develop, improve and increase your knowledge.training boschrexrothacademy wemoveyouwin"
716,10,0.24744922,the rexroth smart function kit for pressing brings plug-and-produce simplicity and efficiency to a wide range of industrial joining and pressing applications. download the white paper to learn how it can help your operations. mechatronics 
717,10,0.23003055,"Are your technical studies in the field of hydraulics or automation towards the end of the line and are looking for a suitable final job?We would find a final worker for our industrial hydraulics department!We provide an interesting final work on the development of the future of the hydraulic machinery of the hydraulic machine, where you can also apply various connectivity (IoT) and thus, for example, technologies based on condition monitoring.In addition to an interesting task, you will be familiar with the products and operations of the international Group and the market leader.Take a look at the closer information on the final job and submit your application with CV 31.1.by!"
